Date,Temp
1/1/1981,20.7
1/2/1981,17.9
1/3/1981,18.8
1/4/1981,14.6
1/5/1981,15.8
1/6/1981,15.8
1/7/1981,15.8
1/8/1981,17.4
1/9/1981,21.8
1/10/1981,20
1/11/1981,16.2
1/12/1981,13.3
1/13/1981,16.7
1/14/1981,21.5
1/15/1981,25
1/16/1981,20.7
1/17/1981,20.6
1/18/1981,24.8
1/19/1981,17.7
1/20/1981,15.5
1/21/1981,18.2
1/22/1981,12.1
1/23/1981,14.4
1/24/1981,16
1/25/1981,16.5
1/26/1981,18.7
1/27/1981,19.4
1/28/1981,17.2
1/29/1981,15.5
1/30/1981,15.1
1/31/1981,15.4
2/1/1981,15.3
2/2/1981,18.8
2/3/1981,21.9
2/4/1981,19.9
2/5/1981,16.6
2/6/1981,16.8
2/7/1981,14.6
2/8/1981,17.1
2/9/1981,25
2/10/1981,15
2/11/1981,13.7
2/12/1981,13.9
2/13/1981,18.3
2/14/1981,22
2/15/1981,22.1
2/16/1981,21.2
2/17/1981,18.4
2/18/1981,16.6
2/19/1981,16.1
2/20/1981,15.7
2/21/1981,16.6
2/22/1981,16.5
2/23/1981,14.4
2/24/1981,14.4
2/25/1981,18.5
2/26/1981,16.9
2/27/1981,17.5
2/28/1981,21.2
3/1/1981,17.8
3/2/1981,18.6
3/3/1981,17
3/4/1981,16
3/5/1981,13.3
3/6/1981,14.3
3/7/1981,11.4
3/8/1981,16.3
3/9/1981,16.1
3/10/1981,11.8
3/11/1981,12.2
3/12/1981,14.7
3/13/1981,11.8
3/14/1981,11.3
3/15/1981,10.6
3/16/1981,11.7
3/17/1981,14.2
3/18/1981,11.2
3/19/1981,16.9
3/20/1981,16.7
3/21/1981,8.1
3/22/1981,8
3/23/1981,8.8
3/24/1981,13.4
3/25/1981,10.9
3/26/1981,13.4
3/27/1981,11
3/28/1981,15
3/29/1981,15.7
3/30/1981,14.5
3/31/1981,15.8
4/1/1981,16.7
4/2/1981,16.8
4/3/1981,17.5
4/4/1981,17.1
4/5/1981,18.1
4/6/1981,16.6
4/7/1981,10
4/8/1981,14.9
4/9/1981,15.9
4/10/1981,13
4/11/1981,7.6
4/12/1981,11.5
4/13/1981,13.5
4/14/1981,13
4/15/1981,13.3
4/16/1981,12.1
4/17/1981,12.4
4/18/1981,13.2
4/19/1981,13.8
4/20/1981,10.6
4/21/1981,9
4/22/1981,10
4/23/1981,9.8
4/24/1981,11.5
4/25/1981,8.9
4/26/1981,7.4
4/27/1981,9.9
4/28/1981,9.3
4/29/1981,9.9
4/30/1981,7.4
5/1/1981,8.6
5/2/1981,11.9
5/3/1981,14
5/4/1981,8.6
5/5/1981,10
5/6/1981,13.5
5/7/1981,12
5/8/1981,10.5
5/9/1981,10.7
5/10/1981,8.1
5/11/1981,10.1
5/12/1981,10.6
5/13/1981,5.3
5/14/1981,6.6
5/15/1981,8.5
5/16/1981,11.2
5/17/1981,9.8
5/18/1981,5.9
5/19/1981,3.2
5/20/1981,2.1
5/21/1981,3.4
5/22/1981,5.4
5/23/1981,9.6
5/24/1981,11.5
5/25/1981,12.3
5/26/1981,12.6
5/27/1981,11
5/28/1981,11.2
5/29/1981,11.4
5/30/1981,11.8
5/31/1981,12.8
6/1/1981,11.6
6/2/1981,10.6
6/3/1981,9.8
6/4/1981,11.2
6/5/1981,5.7
6/6/1981,7.1
6/7/1981,2.5
6/8/1981,3.5
6/9/1981,4.6
6/10/1981,11
6/11/1981,5.7
